wb1,shal,20.2281,E10,maxwell,wholebrain
wb1,shal,20.4768,E11,maxwell,wholebrain
wb1,shal,20.1695,E12,maxwell,wholebrain
wb1,inx1,16.6582,E10,maxwell,wholebrain
wb1,inx1,15.732,E11,maxwell,wholebrain
wb1,inx1,14.6259,E12,maxwell,wholebrain
wb1,CbNaV,17.6634,E10,maxwell,wholebrain
wb1,CbNaV,17.7614,E11,maxwell,wholebrain
wb1,CbNaV,17.9843,E12,maxwell,wholebrain
wb2,shal,21.8433,F10,maxwell,wholebrain
wb2,shal,20.7046,F11,maxwell,wholebrain
wb2,shal,19.8351,F12,maxwell,wholebrain
wb2,inx1,16.7757,F10,maxwell,wholebrain
wb2,inx1,15.9855,F11,maxwell,wholebrain
wb2,inx1,15.977,F12,maxwell,wholebrain
wb2,CbNaV,NA,F10,maxwell,wholebrain
wb2,CbNaV,17.8263,F11,maxwell,wholebrain
wb2,CbNaV,17.3,F12,maxwell,wholebrain
wb3,inx1,15.8239,G10,maxwell,wholebrain
wb3,inx1,16.9294,G11,maxwell,wholebrain
wb3,inx1,-1,G12,maxwell,wholebrain
wb1,inx2,14.0026,E12,maxwell,wholebrain
wb1,inx2,16.7841,E11,maxwell,wholebrain
wb1,inx2,16.9676,E10,maxwell,wholebrain
wb1,IH,NA,E10,maxwell,wholebrain
wb1,IH,NA,E11,maxwell,wholebrain
wb1,IH,NA,E12,maxwell,wholebrain
wb2,inx2,14.5519,F12,maxwell,wholebrain
wb2,inx2,16.302,F10,maxwell,wholebrain
wb2,inx2,16.9119,F11,maxwell,wholebrain
wb2,IH,-1,F10,maxwell,wholebrain
wb2,IH,-1,F11,maxwell,wholebrain
wb2,IH,-1,F12,maxwell,wholebrain
