sample,gene,ct,well,method,tissue,cell
m16,CbNaV,31.8969,H6,maxwell,neuron,a
m16,IH,NA,H4,maxwell,neuron,a
m16,IH,NA,H5,maxwell,neuron,a
m16,IH,NA,H6,maxwell,neuron,a
m16,inx1,25.1746,H4,maxwell,neuron,a
m16,inx1,24.1218,H5,maxwell,neuron,a
m16,inx1,24.7393,H6,maxwell,neuron,a
m16,inx2,25.4928,H4,maxwell,neuron,a
m16,inx2,24.9824,H5,maxwell,neuron,a
m16,inx2,-1,H6,maxwell,neuron,a
m16,shal,-1,H4,maxwell,neuron,a
m16,shal,-1,H5,maxwell,neuron,a
m16,shal,-1,H6,maxwell,neuron,a
m2,CbNaV,NA,B1,maxwell,neuron,a
m2,CbNaV,28.1984,B2,maxwell,neuron,a
m2,CbNaV,27.7361,B3,maxwell,neuron,a
m2,IH,-1,B1,maxwell,neuron,a
m2,IH,31.6545,B2,maxwell,neuron,a
m2,IH,32.0768,B3,maxwell,neuron,a
m2,inx1,28.8333,B1,maxwell,neuron,a
m2,inx1,28.6354,B2,maxwell,neuron,a
m2,inx1,27.4968,B3,maxwell,neuron,a
m2,inx2,30.4615,B1,maxwell,neuron,a
m2,inx2,29.4972,B2,maxwell,neuron,a
m2,inx2,27.0667,B3,maxwell,neuron,a
m2,shal,30.197,B1,maxwell,neuron,a
m2,shal,30.9024,B2,maxwell,neuron,a
m2,shal,30.6301,B3,maxwell,neuron,a
m3,CbNaV,28.1977,C1,maxwell,neuron,a
m3,CbNaV,27.7155,C2,maxwell,neuron,a
m3,CbNaV,30.4006,C3,maxwell,neuron,a
m3,IH,NA,C1,maxwell,neuron,a
m3,IH,NA,C2,maxwell,neuron,a
m3,IH,NA,C3,maxwell,neuron,a
m3,inx1,28.8427,C1,maxwell,neuron,a
m3,inx1,28.7649,C2,maxwell,neuron,a
m3,inx1,30.1418,C3,maxwell,neuron,a
m3,inx2,29.1362,C1,maxwell,neuron,a
m3,inx2,28.6475,C2,maxwell,neuron,a
m3,inx2,33.5434,C3,maxwell,neuron,a
m3,shal,31.1312,C1,maxwell,neuron,a
m3,shal,30.8762,C2,maxwell,neuron,a
m3,shal,33.2764,C3,maxwell,neuron,a
m4,CbNaV,28.8984,D1,maxwell,neuron,a
m4,CbNaV,28.348,D2,maxwell,neuron,a
m4,CbNaV,27.9321,D3,maxwell,neuron,a
m4,IH,33.3277,D1,maxwell,neuron,a
m4,IH,30.7272,D2,maxwell,neuron,a
m4,IH,31.1638,D3,maxwell,neuron,a
m4,inx1,28.3061,D1,maxwell,neuron,a
m4,inx1,28.2748,D2,maxwell,neuron,a
m4,inx1,27.3608,D3,maxwell,neuron,a
m4,inx2,30.3816,D1,maxwell,neuron,a
m4,inx2,29.0054,D2,maxwell,neuron,a
m4,inx2,27.1062,D3,maxwell,neuron,a
m4,shal,31.6034,D1,maxwell,neuron,a
m4,shal,32.8857,D2,maxwell,neuron,a
m4,shal,32.7349,D3,maxwell,neuron,a
m5,CbNaV,28.9311,E1,maxwell,neuron,a
m5,CbNaV,28.7229,E2,maxwell,neuron,a
m5,CbNaV,29.1498,E3,maxwell,neuron,a
m5,IH,32.4687,E1,maxwell,neuron,a
m5,IH,NA,E2,maxwell,neuron,a
m5,IH,32.1077,E3,maxwell,neuron,a
m5,inx1,30.0711,E1,maxwell,neuron,a
m5,inx1,30.0171,E2,maxwell,neuron,a
