* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = C:\Users\user\Dropbox\MolLab2015\StudentProjects\STGsingleneuron\071415_inx2.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	BADROX	HIGHSD	SPIKE	OUTLIERRG
A1	m1	inx2	UNKNOWN	SYBR	None	31.1363	29.498	1.8332				false	4.1814	true	3	22	83.9231				Y	Y	N	N
A2	m1	inx2	UNKNOWN	SYBR	None	29.8398	29.498	1.8332				false	4.1814	true	3	22	84.9181				Y	Y	N	N
A3	m1	inx2	UNKNOWN	SYBR	None	27.5181	29.498	1.8332				false	4.1814	true	3	19	83.953				N	Y	N	N
A4	m9	inx2	UNKNOWN	SYBR	None	30.1078	29.263	1.0189				false	4.1814	true	3	22	83.953				Y	Y	N	N
A5	m9	inx2	UNKNOWN	SYBR	None	29.5497	29.263	1.0189				false	4.1814	true	3	20	84.9958				N	Y	N	N
A6	m9	inx2	UNKNOWN	SYBR	None	28.1314	29.263	1.0189				false	4.1814	true	3	20	84.9958				N	Y	N	N
A7	z1	inx2	UNKNOWN	SYBR	None	36.131	36.9668	1.182				false	4.1814	true	3	29	82.9859				N	Y	N	N
A8	z1	inx2	UNKNOWN	SYBR	None	37.8026	36.9668	1.182				false	4.1814	true	3	29	82.9859				N	Y	Y	N
A9	z1	inx2	UNKNOWN	SYBR	None							false	4.1814	true	3	39					N	N	N	N
A10	z9	inx2	UNKNOWN	SYBR	None							false	4.1814	true	3	28					N	N	N	N
A11	z9	inx2	UNKNOWN	SYBR	None							false	4.1814	true	3	26					N	N	N	N
A12	z9	inx2	UNKNOWN	SYBR	None							false	4.1814	true	3	28					N	N	N	N
B1	m2	inx2	UNKNOWN	SYBR	None	30.4615	29.0085	1.7494				false	4.1814	true	3	21	83.9231				N	Y	N	N
B2	m2	inx2	UNKNOWN	SYBR	None	29.4972	29.0085	1.7494				false	4.1814	true	3	19	83.9231				N	Y	N	N
B3	m2	inx2	UNKNOWN	SYBR	None	27.0667	29.0085	1.7494				false	4.1814	true	3	20	83.953				N	Y	N	N
B4	m10	inx2	UNKNOWN	SYBR	None	30.8048	29.7313	1.2267				false	4.1814	true	3	21	83.953				N	Y	N	N
B5	m10	inx2	UNKNOWN	SYBR	None	29.9949	29.7313	1.2267				false	4.1814	true	3	22	84.0016				N	Y	N	N
B6	m10	inx2	UNKNOWN	SYBR	None	28.3942	29.7313	1.2267				false	4.1814	true	3	20	84.0016				N	Y	N	N
B7	z2	inx2	UNKNOWN	SYBR	None	32.5995	32.0938	0.9518				false	4.1814	true	3	23	84.9851				N	Y	N	N
B8	z2	inx2	UNKNOWN	SYBR	None	32.6859	32.0938	0.9518				false	4.1814	true	3	24	83.9902				N	Y	N	N
B9	z2	inx2	UNKNOWN	SYBR	None	30.9958	32.0938	0.9518				false	4.1814	true	3	21	83.8858				N	Y	N	N
B10	z10	inx2	UNKNOWN	SYBR	None							false	4.1814	true	3	22					N	N	N	N
B11	z10	inx2	UNKNOWN	SYBR	None							false	4.1814	true	3	25					N	N	N	N
